tmkey,tlkey,office,gender,age,gender_l,office_l,age_l,lc1,lc2,lc3,lc4,lc5,lc6,lc7,lc8,lct0,as1,as2,as3,as4,as5,as6,as7,lmx1,lmx2,lmx3,lmx4,lmx5,lmx6,lmx7,lmxt2,otenure_l,ttenure_l,tm_oten,tm_tten,otenure,ttenure,extrav1,extrav2,extrav3,extrav4,cons1,cons2,cons3,cons4,neuro1,neuro2,neuro3,neuro4,intel1,intel2,intel3,intel4,extrav,cons,neuro,intel,pla
5124,1001,6,4,2,2,6,3,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,13 ans,4 ans,96,12,8 ans,1 an,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,3,3,3,3,4.625
5125,1001,6,4,3,2,6,3,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,13 ans,4 ans,12,12,1 ans,1 an,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,3,3,3,3,5
5126,1001,6,4,3,2,6,3,4,4,4,4,4,4,5,2,3.88,4,3,5,4,4,4,4,4,4,4,2,4,2,4,3.43,13 ans,4 ans,72,1,6ans,1mois,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,3,3,3,3,4
5127,1001,6,4,3,2,6,3,4,5,5,4,5,5,5,4,4.63,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,13 ans,4 ans,24,12,2,1,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,3,3,3,3,5
5128,1001,6,3,2,2,6,3,4,4,4,3,4,3,5,2,3.63,4,4,5,4,5,5,2,5,5,4,4,5,5,4,4.57,13 ans,4 ans,12,12,1 an,1 an,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,3,3,3,3,4.125
5129,1054,6,3,3,2,6,5,2,3,2,2,3,3,3,3,2.63,5,3,5,4,3,3,5,1,1,1,2,2,1,2,1.43,40,2,120,36,10,3,4,3,4,4,3,4,5,4,2,2,3,3,4,3,3,4,3.75,4,2.5,3.5,3
5130,1054,6,4,3,2,6,5,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,2,3,3,3,3.29,40,2,120,72,10,6,4,3,4,4,3,4,5,4,2,2,3,3,4,3,3,4,3.75,4,2.5,3.5,4
5131,1054,6,4,5,2,6,5,4,4,3,3,4,4,5,4,3.88,4,4,4,3,3,3,2,3,4,3,3,4,4,3,3.43,40,2,36,36,3,3,4,3,4,4,3,4,5,4,2,2,3,3,4,3,3,4,3.75,4,2.5,3.5,4
5132,1054,6,3,4,2,6,5,2,3,3,2,3,4,5,1,2.88,3,4,5,4,4,4,5,2,2,3,4,3,3,3,2.86,40,2,12,12,1,1,4,3,4,4,3,4,5,4,2,2,3,3,4,3,3,4,3.75,4,2.5,3.5,3
5133,1054,6,4,4,2,6,5,3,3,3,3,4,3,4,3,3.25,,,,,,,,,,,,,,,,40,2,300,228,25 ans,19 ans,4,3,4,4,3,4,5,4,2,2,3,3,4,3,3,4,3.75,4,2.5,3.5,3.875
5134,1054,6,4,4,2,6,5,4,4,4,3,3,4,5,4,3.88,5,4,5,5,4,4,5,3,2,2,2,2,2,3,2.29,40,2,60,60,5,5,4,3,4,4,3,4,5,4,2,2,3,3,4,3,3,4,3.75,4,2.5,3.5,3.625
5135,1054,6,4,5,2,6,5,4,4,4,4,4,4,4,3,3.88,4,4,4,4,4,4,3,4,4,4,3,3,3,4,3.57,40,2,240,96,20,8,4,3,4,4,3,4,5,4,2,2,3,3,4,3,3,4,3.75,4,2.5,3.5,3.875
5136,1054,6,4,5,2,6,5,4,4,4,4,3,4,5,4,4,4,4,5,3,4,3,3,4,3,4,3,3,3,4,3.43,40,2,108,48,9 ans,4 ans,4,3,4,4,3,4,5,4,2,2,3,3,4,3,3,4,3.75,4,2.5,3.5,4.5
5137,1036,6,4,2,2,6,5,4,4,4,4,4,4,4,4,4,4,3,4,3,2,3,4,4,4,4,5,5,5,5,4.57,30 ans,30 ans,60,60,5 ans,5 ans,3,2,3,3,4,4,4,4,3,3,2,4,4,3,3,4,2.75,4,3,3.5,4.25
5138,1036,6,4,5,2,6,5,4,4,4,4,4,3,4,4,3.88,4,3,5,4,3,4,5,4,4,4,2,4,4,4,3.71,30 ans,30 ans,180,180,15,15,3,2,3,3,4,4,4,4,3,3,2,4,4,3,3,4,2.75,4,3,3.5,4.125
5139,1036,6,4,4,2,6,5,5,4,4,5,5,5,5,5,4.75,4,4,4,3,3,3,3,5,4,5,4,4,4,5,4.43,30 ans,30 ans,288,288,24 ans,24 ans,3,2,3,3,4,4,4,4,3,3,2,4,4,3,3,4,2.75,4,3,3.5,5
5140,1036,6,4,3,2,6,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30 ans,30 ans,156,120,13 ans,10 ans,3,2,3,3,4,4,4,4,3,3,2,4,4,3,3,4,2.75,4,3,3.5,3.875
5141,1036,6,4,4,2,6,5,4,4,4,4,4,4,4,2,3.75,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,30 ans,30 ans,180,180,15 ans,15 ans,3,2,3,3,4,4,4,4,3,3,2,4,4,3,3,4,2.75,4,3,3.5,4.375
5142,1036,6,3,2,2,6,5,3,4,3,4,4,3,4,4,3.63,5,5,5,4,4,4,5,4,3,3,3,4,4,4,3.57,30 ans,30 ans,72,24,6,2,3,2,3,3,4,4,4,4,3,3,2,4,4,3,3,4,2.75,4,3,3.5,4
5143,1036,6,4,4,2,6,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,30 ans,30 ans,108,12,9,1,3,2,3,3,4,4,4,4,3,3,2,4,4,3,3,4,2.75,4,3,3.5,5
5144,1036,6,4,4,2,6,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30 ans,30 ans,132,132,11,11,3,2,3,3,4,4,4,4,3,3,2,4,4,3,3,4,2.75,4,3,3.5,4.5
5145,1036,6,4,3,2,6,5,5,5,5,5,4,5,4,4,4.63,4,5,5,5,5,4,5,3,2,5,4,4,4,4,3.71,30 ans,30 ans,24,4,2,0,3,2,3,3,4,4,4,4,3,3,2,4,4,3,3,4,2.75,4,3,3.5,5
5146,1036,6,4,5,2,6,5,3,3,3,3,3,3,3,3,3,4,3,5,4,4,4,4,4,3,3,3,4,4,4,3.57,30 ans,30 ans,372, ,31 ans,multiple,3,2,3,3,4,4,4,4,3,3,2,4,4,3,3,4,2.75,4,3,3.5,5
5147,2006,5,3,4,1,5,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,,,96,12,8,1, , , , , , , , , , , , , , , , , , , , ,3
5148,1058,5,4,2,2,5,5,5,5,5,5,5,4,5,4,4.75,,,,,,,,,,,,,,,,2 ans chez Essor / 37 ans gestionnaire d'Ã©quipe,2 ans,96,66,8 ans en avril 2018,5-6 ans, , , , , , , , , , , , , , , , , , , , ,4.625
5149,1058,5,4,6,2,5,5,3,3,4,3,4,3,4,3,3.38,4,3,4,4,3,4,2,3,4,4,4,4,3,4,3.71,2 ans chez Essor / 37 ans gestionnaire d'Ã©quipe,2 ans,168,168,14 ans,14 ans, , , , , , , , , , , , , , , , , , , , ,4
5150,1058,5,4,3,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,3,3,4,3,3,3.71,2 ans chez Essor / 37 ans gestionnaire d'Ã©quipe,2 ans,36,36,3 ans,3 ans, , , , , , , , , , , , , , , , , , , , ,3.5
5151,1058,5,4,6,2,5,5,4,4,5,4,4,4,5,3,4.13,,,,,,,,,,,,,,,,2 ans chez Essor / 37 ans gestionnaire d'Ã©quipe,2 ans,360,24,30 ans,2 ans, , , , , , , , , , , , , , , , , , , , ,4.125
5152,1058,5,3,2,2,5,5,4,4,4,4,3,5,3,3,3.75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2 ans chez Essor / 37 ans gestionnaire d'Ã©quipe,2 ans,72,60,6,5, , , , , , , , , , , , , , , , , , , , ,4
5153,1058,5,4,4,2,5,5,2,3,3,4,4,4,5,3,3.5,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2 ans chez Essor / 37 ans gestionnaire d'Ã©quipe,2 ans,324,48,27 ans,4 ans, , , , , , , , , , , , , , , , , , , , ,4
5154,1058,5,4,5,2,5,5,3,4,4,4,3,4,3,2,3.38,4,4,5,4,3,4,4,5,4,4,3,4,5,5,4.29,2 ans chez Essor / 37 ans gestionnaire d'Ã©quipe,2 ans,432,24,36 ans,2, , , , , , , , , , , , , , , , , , , , ,4.375
5155,1058,5,4,3,2,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2 ans chez Essor / 37 ans gestionnaire d'Ã©quipe,2 ans,120,120,10,10, , , , , , , , , , , , , , , , , , , , ,3
5156,1058,5,4,4,2,5,5,1,4,5,5,4,1,5,1,3.25,,,,,,,,,,,,,,,,2 ans chez Essor / 37 ans gestionnaire d'Ã©quipe,2 ans,264,264,22,22, , , , , , , , , , , , , , , , , , , , ,5
5157,1058,5,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2 ans chez Essor / 37 ans gestionnaire d'Ã©quipe,2 ans,96,96,8 ans,8 ans, , , , , , , , , , , , , , , , , , , , ,5
5158,1085,5,3,3,1,5,2,3,4,4,1,4,3,2,2,2.88,4,5,4,4,4,4,5,4,5,5,5,5,5,5,4.86,6,3,48,48,4,4, , , , , , , , , , , , , , , , , , , , ,4.625
5160,1085,5,4,,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,6,3, , ,,, , , , , , , , , , , , , , , , , , , , ,4
5161,1085,5,4,6,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,4.43,6,3,120,120,10,10, , , , , , , , , , , , , , , , , , , , ,5
5162,1085,5,3,3,1,5,2,4,5,5,5,5,5,4,4,4.63,,,,,,,,,,,,,,,,6,3,96,12,8,1, , , , , , , , , , , , , , , , , , , , ,5
5163,1085,5,4,4,1,5,2,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3,5,5,5,4.71,6,3,456,456,38,38, , , , , , , , , , , , , , , , , , , , ,4.5
5164,1097,5,4,2,1,5,,5,5,5,5,5,4,5,5,4.88,,,,,,,,,,,,,,,,,,36,36,3,3,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,4
5165,1097,5,4,5,1,5,,3,3,3,4,3,3,4,4,3.38,4,4,5,5,5,5,2,4,3,3,3,3,2,3,3,,,180,180,15,15,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,3.125
5166,1097,5,4,4,1,5,,5,5,5,5,5,4,4,3,4.5,,,,,,,,,,,,,,,,,,156,156,13 ans,13 ans,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,
5167,1097,5,4,4,1,5,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3.14,,,156,156,13,13,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,4
5168,1097,5,4,5,1,5,,4,4,5,5,5,4,5,3,4.38,2,4,5,5,4,4,4,4,4,4,5,4,4,5,4.29,,,72,72,6,6,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,4
5169,1097,5,4,4,1,5,,5,5,5,5,5,2,5,3,4.38,4,4,4,4,4,4,4,5,5,5,3,5,5,5,4.71,,,432,432,36 ans,36 ans,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,5
5170,1097,5,4,2,1,5,,5,5,5,5,5,5,5,3,4.75,,,,,,,,,,,,,,,,,,24,24,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,5
5171,1097,5,4,6,1,5,,4,4,4,4,4,3,4,2,3.63,,,,,,,,,,,,,,,,,,144,96,12,8,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,
5172,1097,5,4,3,1,5,,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,,,48,48,4,4,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,4
5173,1097,5,3,3,1,5,,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,36,24,3,2,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,5
5174,1097,5,4,5,1,5,,4,5,5,5,4,4,5,4,4.5,,,,,,,,,,,,,,,,,,204,36,17,3,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,
5175,1097,5,4,5,1,5,,4,4,4,4,4,4,4,3,3.88,,,,,,,,,,,,,,,,,,228,1,19 ans,1 mois,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,4
5176,1097,5,4,3,1,5,,5,5,5,5,5,5,5,1,4.5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,,,108,24,9,2,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,5
5177,1097,5,4,3,1,5,,5,5,5,5,5,2,3,3,4.13,,,,,,,,,,,,,,,,,,180,36,15,3,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,4
5178,1097,5,4,5,1,5,,5,5,5,5,5,4,4,4,4.63,4,3,4,3,3,4,3,5,5,5,4,5,5,5,4.86,,,120,48,10,4,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,5
5179,1097,5,4,3,1,5,,5,5,5,5,5,4,4,2,4.38,,,,,,,,,,,,,,,,,,84,84,7,7,2,4,4,4,4,4,4,4,2,2,2,2,2,4,2,4,3.5,4,2,3,4.375
5180,1024,5,4,4,2,5,2,4,4,3,4,4,4,4,3,3.75,4,2,4,2,3,3,4,4,3,3,3,3,3,3,3.14,3 ans,3 ans,312,12,26,1,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,4.625
5181,1024,5,4,2,2,5,2,3,3,4,4,4,4,4,3,3.63,4,4,4,4,4,4,3,3,3,4,3,3,3,4,3.29,3 ans,3 ans,36,36,3,3,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,
5182,1024,5,3,2,2,5,2,4,4,4,4,4,3,4,4,3.88,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3 ans,3 ans,84,84,7 ans,7 ans,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,4
5183,1024,5,4,5,2,5,2,5,5,5,4,5,3,4,3,4.25,4,3,5,4,4,4,5,5,5,5,3,5,5,5,4.71,3 ans,3 ans,492,492,41 ans,41 ans,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,5
5184,1024,5,4,2,2,5,2,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,3,4,3.71,3 ans,3 ans,60,12,5,1,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,5
5185,1024,5,4,3,2,5,2,4,4,4,4,3,4,4,2,3.63,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,3 ans,3 ans,120,24,10,2,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,4
5186,1024,5,4,2,2,5,2,4,4,5,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,5,4,4,4,5,4.29,3 ans,3 ans,84,24,7 ans,2 ans,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,5
5187,1024,5,4,2,2,5,2,4,4,4,4,4,4,4,3,3.88,,,,,,,,,,,,,,,,3 ans,3 ans,60,12,5,1,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,3.75
5188,1024,5,4,4,2,5,2,3,3,3,3,4,3,2,3,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3.86,3 ans,3 ans,156,156,13,13,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,4
5189,1024,5,4,5,2,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3 ans,3 ans,492,336,41 ans,28 ans,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,4.75
5190,1024,5,4,5,2,5,2,4,4,5,4,5,2,4,3,3.88,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3 ans,3 ans,240,24,20,2,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,5
5191,1024,5,4,,2,5,2,,,,,,,,,,5,5,5,4,4,4,4,5,5,5,4,5,5,5,4.86,3 ans,3 ans, , ,,,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,5
5192,1024,5,4,5,2,5,2,4,4,4,4,4,3,4,2,3.63,4,3,4,4,4,4,4,4,3,4,3,4,5,5,4,3 ans,3 ans,144,144,12,12,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,4.125
5193,1024,5,3,3,2,5,2,4,4,4,1,2,5,4,1,3.13,,,,,,,,,,,,,,,,3 ans,3 ans,12,12,1,1,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,4.875
5194,1024,5,4,5,2,5,2,4,4,4,4,4,4,3,3,3.75,4,3,4,3,3,3,3,5,5,5,3,5,5,5,4.71,3 ans,3 ans,372,72,31 ans,6 ans,5,4,4,4,5,5,5,5,1,2,2,3,4,4,2,4,4.25,5,2,3.5,4
5195,1011,5,4,6,2,5,3,4,4,4,4,4,4,4,3,3.88,4,3,4,4,4,4,4,3,3,4,4,4,4,4,3.71,17 ans,7 ans,84,0,7 ans,Nouvelle Ã©quipe Ã  venir,3,4,3,4,3,4,5,4,3,3,2,2,3,3,3,3,3.5,4,2.5,3,4.375
5196,1011,5,4,4,2,5,3,3,3,4,4,4,3,3,3,3.38,4,3,4,2,2,3,2,3,3,3,3,3,3,4,3.14,17 ans,7 ans,132,4,11 ans,0,3,4,3,4,3,4,5,4,3,3,2,2,3,3,3,3,3.5,4,2.5,3,3
5197,1011,5,4,3,2,5,3,4,4,4,4,4,3,4,3,3.75,2,1,2,2,2,2,1,5,4,5,3,3,5,5,4.29,17 ans,7 ans,96,8,8 ans,8 mois,3,4,3,4,3,4,5,4,3,3,2,2,3,3,3,3,3.5,4,2.5,3,4.625
5198,1011,5,4,5,2,5,3,4,4,4,4,4,4,4,3,3.88,,,,,,,,,,,,,,,,17 ans,7 ans,504,84,42,7,3,4,3,4,3,4,5,4,3,3,2,2,3,3,3,3,3.5,4,2.5,3,
5199,1011,5,4,3,2,5,3,4,4,4,3,3,3,4,2,3.38,4,2,4,3,3,3,3,4,4,4,3,4,4,4,3.86,17 ans,7 ans,84,12,7 ans,1 an,3,4,3,4,3,4,5,4,3,3,2,2,3,3,3,3,3.5,4,2.5,3,4
5200,1011,5,4,2,2,5,3,3,3,4,4,4,3,3,1,3.13,,,,,,,,,,,,,,,,17 ans,7 ans,24,24,2,2,3,4,3,4,3,4,5,4,3,3,2,2,3,3,3,3,3.5,4,2.5,3,3.875
5201,1011,5,4,2,2,5,3,5,5,5,4,5,4,5,4,4.63,,,,,,,,,,,,,,,,17 ans,7 ans,48,48,4 ans,4 ans,3,4,3,4,3,4,5,4,3,3,2,2,3,3,3,3,3.5,4,2.5,3,4.625
5202,1021,5,4,4,2,5,4,5,4,4,4,4,4,4,5,4.25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11 ans,3 ans,120,12,10 Ans,10 Ans,5,5,5,5,1,1,5,5,4,5,4,5,2,1,5,2,5,3,4.5,2.5,2.75
5203,1021,5,4,5,2,5,4,5,5,5,5,5,5,5,5,5,3,4,5,4,4,5,5,5,5,4,5,5,5,5,4.86,11 ans,3 ans,228,228,19 ans,19 ans,5,5,5,5,1,1,5,5,4,5,4,5,2,1,5,2,5,3,4.5,2.5,5
5204,1021,5,4,2,2,5,4,2,5,5,5,5,1,5,2,3.75,4,3,5,4,3,4,5,4,4,4,4,4,5,5,4.29,11 ans,3 ans,18,18,1.5,1.5,5,5,5,5,1,1,5,5,4,5,4,5,2,1,5,2,5,3,4.5,2.5,4.625
5205,1021,5,4,4,2,5,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,11 ans,3 ans,216,216,18,18,5,5,5,5,1,1,5,5,4,5,4,5,2,1,5,2,5,3,4.5,2.5,4.5
5206,1021,5,4,5,2,5,4,5,5,5,4,5,4,5,5,4.75,4,4,4,4,4,4,5,5,5,5,2,4,4,5,4.29,11 ans,3 ans,360,360,30,30,5,5,5,5,1,1,5,5,4,5,4,5,2,1,5,2,5,3,4.5,2.5,4.5
5207,1021,5,3,2,2,5,4,4,4,4,3,4,4,5,3,3.88,4,4,4,4,4,4,2,4,4,4,4,4,4,5,4.14,11 ans,3 ans,36,36,3,3,5,5,5,5,1,1,5,5,4,5,4,5,2,1,5,2,5,3,4.5,2.5,4
5208,1021,5,4,3,2,5,4,5,5,5,4,5,5,5,4,4.75,4,5,5,5,4,5,1,5,5,5,5,5,5,5,5,11 ans,3 ans,96,120,8,10,5,5,5,5,1,1,5,5,4,5,4,5,2,1,5,2,5,3,4.5,2.5,4.75
5209,1021,5,4,4,2,5,4,4,3,4,3,4,3,4,4,3.63,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,11 ans,3 ans,180,96,15,8,5,5,5,5,1,1,5,5,4,5,4,5,2,1,5,2,5,3,4.5,2.5,4
5210,1021,5,4,5,2,5,4,4,4,4,4,4,3,4,4,3.88,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11 ans,3 ans,468,9,39 ans,20 ans adjointe 19 courtier,5,5,5,5,1,1,5,5,4,5,4,5,2,1,5,2,5,3,4.5,2.5,4
5211,1021,5,4,4,2,5,4,3,4,3,4,4,2,4,3,3.38,3,2,3,3,3,3,3,3,3,3,3,4,4,3,3.29,11 ans,3 ans,360,120,30,10,5,5,5,5,1,1,5,5,4,5,4,5,2,1,5,2,5,3,4.5,2.5,3
5212,1021,5,4,3,2,5,4,4,4,5,5,5,5,5,5,4.75,,,,,,,,,,,,,,,,11 ans,3 ans,120,120,10 ans,10 ans,5,5,5,5,1,1,5,5,4,5,4,5,2,1,5,2,5,3,4.5,2.5,
5213,1021,5,3,4,2,5,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,11 ans,3 ans,24,24,2,2,5,5,5,5,1,1,5,5,4,5,4,5,2,1,5,2,5,3,4.5,2.5,3.75
5214,1021,5,4,5,2,5,4,3,2,3,3,3,5,4,1,3,4,4,4,4,4,4,5,4,4,3,5,5,4,4,4.14,11 ans,3 ans,156,24,13,2,5,5,5,5,1,1,5,5,4,5,4,5,2,1,5,2,5,3,4.5,2.5,4.75
5215,1055,5,4,5,2,5,,4,4,4,4,4,4,5,3,4,4,3,4,3,3,3,4,3,3,3,4,4,4,4,3.57,,,120,120,10 ans,10 ans,3,2,3,4,3,4,4,4,1,3,1,1,3,3,4,3,3,3.75,1.5,3.25,3.375
5216,1055,5,3,4,2,5,,4,4,4,4,4,3,4,3,3.75,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,,,84,84,7 ans,7 ans,3,2,3,4,3,4,4,4,1,3,1,1,3,3,4,3,3,3.75,1.5,3.25,4
5217,1055,5,4,5,2,5,,4,4,4,4,3,4,4,4,3.88,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,,,336,18,28 ans,18 mois,3,2,3,4,3,4,4,4,1,3,1,1,3,3,4,3,3,3.75,1.5,3.25,3.875
5218,1055,5,4,4,2,5,,4,4,4,3,4,3,4,4,3.75,4,4,4,3,4,4,3,3,4,4,3,4,4,4,3.71,,,360,168,22/08/1988,14 ans,3,2,3,4,3,4,4,4,1,3,1,1,3,3,4,3,3,3.75,1.5,3.25,3.375
5219,1055,5,4,4,2,5,,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,60,60,5,5,3,2,3,4,3,4,4,4,1,3,1,1,3,3,4,3,3,3.75,1.5,3.25,5
5220,1055,5,4,3,2,5,,4,4,4,2,4,3,2,2,3.13,4,4,5,3,4,4,4,3,4,4,4,4,4,5,4,,,60,60,5,5,3,2,3,4,3,4,4,4,1,3,1,1,3,3,4,3,3,3.75,1.5,3.25,4
5221,1055,5,4,6,2,5,,5,4,5,5,5,4,5,4,4.63,,,,,,,,,,,,,,,,,,204,204,17,17,3,2,3,4,3,4,4,4,1,3,1,1,3,3,4,3,3,3.75,1.5,3.25,3.875
5222,1055,5,4,1,2,5,,4,4,3,4,4,4,4,4,3.88,5,4,5,2,3,2,4,3,3,3,3,5,4,4,3.57,,,24,24,2,2,3,2,3,4,3,4,4,4,1,3,1,1,3,3,4,3,3,3.75,1.5,3.25,4.5
5223,1069,5,3,4,2,5,3,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,5,5,5,4,5,4.86,8,6,72,72,6,6,3,4,4,4,5,5,4,5,3,4,2,3,2,2,4,3,3.75,4.75,3,2.75,5
5224,1069,5,4,4,2,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,4,4,4,4,4,4,4,8,6,84,84,7 ans,7 ans,3,4,4,4,5,5,4,5,3,4,2,3,2,2,4,3,3.75,4.75,3,2.75,3.625
5225,1069,5,4,4,2,5,3,4,4,4,4,4,4,4,3,3.88,4,3,4,3,3,4,3,4,4,4,4,4,4,4,4,8,6,240,60,20,5,3,4,4,4,5,5,4,5,3,4,2,3,2,2,4,3,3.75,4.75,3,2.75,4
5226,1033,5,4,5,1,5,3,4,5,5,5,5,5,5,3,4.63,4,4,4,4,4,4,5,4,4,4,2,3,3,4,3.43,8 ans,5ans,144,240,12 ans,12 ans,2,4,2,4,3,4,4,4,2,3,2,2,4,3,2,5,3,3.75,2.25,3.5,4.5
5227,1033,5,4,5,1,5,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,8 ans,5ans,24,24,2,2,2,4,2,4,3,4,4,4,2,3,2,2,4,3,2,5,3,3.75,2.25,3.5,4.125
5228,1033,5,4,3,1,5,3,4,3,4,4,4,3,5,3,3.75,,,,,,,,,,,,,,,,8 ans,5ans,120,120,10,10,2,4,2,4,3,4,4,4,2,3,2,2,4,3,2,5,3,3.75,2.25,3.5,3.375
5229,1033,5,4,5,1,5,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,4,4,4,3.86,8 ans,5ans,180,180,15,15,2,4,2,4,3,4,4,4,2,3,2,2,4,3,2,5,3,3.75,2.25,3.5,4
5230,1033,5,4,5,1,5,3,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4,4,4,4,5,5,4.29,8 ans,5ans,180,72,15,6,2,4,2,4,3,4,4,4,2,3,2,2,4,3,2,5,3,3.75,2.25,3.5,4.5
5231,1033,5,4,5,1,5,3,5,5,5,5,5,5,5,4,4.88,4,5,5,4,4,4,5,5,5,5,4,5,5,5,4.86,8 ans,5ans,252,336,21 ans,28 ans,2,4,2,4,3,4,4,4,2,3,2,2,4,3,2,5,3,3.75,2.25,3.5,4.75
